arm,radius,theta,k,surv_k,n,p,p_lo,p_hi,anchor_arm,anchor_k,anchor_n,p_anchor,ratio,ratio_lo,ratio_hi
driver02,3,0.4,32,417,450,0.9266666666666666,0.898800980941121,0.9473092037576814,driver02,571,600,0.9516666666666667,0.9737302977232924,0.943089430894309,1.0041152263374487
driver02,3,0.4,128,213,450,0.47333333333333333,0.4276222687794505,0.5194958446768745,driver02,275,600,0.4583333333333333,1.0327272727272727,0.9073402737026655,1.178893178893179
driver02,3,0.4,256,190,450,0.4222222222222222,0.37743408067254597,0.4683270835750683,driver02,256,600,0.4266666666666667,0.9895833333333333,0.854320987654321,1.1380753138075315
driver02,3,0.4,512,181,450,0.4022222222222222,0.35792875081437947,0.44817099852547837,driver02,254,600,0.42333333333333334,0.9501312335958004,0.8197441077441078,1.0987276283904122
driver02,3,0.4,2048,163,450,0.3622222222222222,0.3191523283772182,0.407624591147127,driver02,254,600,0.42333333333333334,0.8556430446194225,0.7306630906768838,1.0013197467242596
driver02,3,0.4,6144,156,450,0.3466666666666667,0.3041601403095267,0.3917690120643413,driver02,254,600,0.42333333333333334,0.8188976377952756,0.6968610550767161,0.9554807561539508
driver02,3,0.8,8,450,450,1.0,0.9915353726939092,1.0,driver02,600,600,1.0,1.0,1.0,1.0
driver02,3,0.8,32,418,450,0.9288888888888889,0.9013356093664393,0.9491813992110028,driver02,571,600,0.9516666666666667,0.9760653823701109,0.9451184286539572,1.0077899566390542
driver02,3,0.8,128,220,450,0.4888888888888889,0.4429924993784164,0.5349733812283857,driver02,275,600,0.4583333333333333,1.0666666666666667,0.9379272030651341,1.2130836397058824
driver02,3,0.8,256,170,450,0.37777777777777777,0.3341941827894129,0.4234305038854094,driver02,256,600,0.4266666666666667,0.8854166666666666,0.7593170852406285,1.0239219923844807
driver02,3,0.8,512,137,450,0.30444444444444446,0.2637300338300373,0.3484694648496784,driver02,254,600,0.42333333333333334,0.7191601049868767,0.6051559479880513,0.8449969216810861
driver02,3,0.8,2048,103,450,0.2288888888888889,0.1924634305606438,0.26990405624532554,driver02,254,600,0.42333333333333334,0.5406824146981627,0.4392141300964831,0.6508265751715535
driver02,3,0.8,6144,88,450,0.19555555555555557,0.16155057692712754,0.23471455169924788,driver02,254,600,0.42333333333333334,0.46194225721784776,0.37174106340512875,0.5636904122345188
driver05,0,0.0,8,121,800,0.15125,0.12809168500212925,0.17774170306835624,driver05,121,800,0.15125,1.0,0.7883101083831011,1.2574556162512804
driver05,0,0.0,32,52,800,0.065,0.049910060890947544,0.08424771347653978,driver05,52,800,0.065,1.0,0.6779661016949153,1.4489795918367347
driver05,0,0.0,128,44,800,0.055,0.04122340967774292,0.07302994570968664,driver05,44,800,0.055,1.0,0.653039041703638,1.527777777777778
driver05,0,0.0,256,44,800,0.055,0.04122340967774292,0.07302994570968664,driver05,44,800,0.055,1.0,0.6595744680851064,1.5161568409343715
driver05,0,0.0,512,44,800,0.055,0.04122340967774292,0.07302994570968664,driver05,44,800,0.055,1.0,0.6590909090909091,1.5428571428571431
driver05,0,0.0,2048,44,800,0.055,0.04122340967774292,0.07302994570968664,driver05,44,800,0.055,1.0,0.6666666666666667,1.527777777777778
driver05,0,0.0,6144,44,800,0.055,0.04122340967774292,0.07302994570968664,driver05,44,800,0.055,1.0,0.66,1.5294117647058822
driver05,0,0.4,8,104,700,0.14857142857142858,0.12414355802520705,0.17683552590504092,driver05,121,800,0.15125,0.9822904368358915,0.7675906183368869,1.2408518189884652
driver05,0,0.4,32,36,700,0.05142857142857143,0.03737665763302461,0.07037713242428374,driver05,52,800,0.065,0.7912087912087912,0.5078844652615144,1.1925741890959283
driver05,0,0.4,128,30,700,0.04285714285714286,0.030182647117360618,0.06052185230410012,driver05,44,800,0.055,0.7792207792207793,0.48,1.2307692307692306
driver05,0,0.4,256,28,700,0.04,0.027817417207753308,0.057203985335091564,driver05,44,800,0.055,0.7272727272727273,0.44314868804664725,1.142857142857143
driver05,0,0.4,512,28,700,0.04,0.027817417207753308,0.057203985335091564,driver05,44,800,0.055,0.7272727272727273,0.45705215419501133,1.1428571428571428
driver05,0,0.4,2048,28,700,0.04,0.027817417207753308,0.057203985335091564,driver05,44,800,0.055,0.7272727272727273,0.44110275689223066,1.1714285714285715
driver05,0,0.4,6144,28,700,0.04,0.027817417207753308,0.057203985335091564,driver05,44,800,0.055,0.7272727272727273,0.4481549141395688,1.1135531135531136
driver05,0,0.8,8,91,700,0.13,0.10709191570077868,0.1569470385184661,driver05,121,800,0.15125,0.859504132231405,0.66266158637368,1.1016731016731016
driver05,0,0.8,32,35,700,0.05,0.03616840378254185,0.06874383783545857,driver05,52,800,0.065,0.7692307692307693,0.5,1.1428571428571428
driver05,0,0.8,128,27,700,0.03857142857142857,0.02664183931591639,0.05553801478762055,driver05,44,800,0.055,0.7012987012987012,0.4257703081232493,1.112781954887218
driver05,0,0.8,256,26,700,0.037142857142857144,0.025471275324428548,0.053867030339800455,driver05,44,800,0.055,0.6753246753246753,0.40551075268817205,1.0633846773381668
driver05,0,0.8,512,26,700,0.037142857142857144,0.025471275324428548,0.053867030339800455,driver05,44,800,0.055,0.6753246753246753,0.40336134453781514,1.0735930735930734
driver05,0,0.8,2048,25,700,0.03571428571428571,0.0243059951692755,0.05219076205564555,driver05,44,800,0.055,0.6493506493506493,0.3956043956043956,1.047683397683398
driver05,0,0.8,6144,24,700,0.03428571428571429,0.023146294869098145,0.050508913916515,driver05,44,800,0.055,0.6233766233766234,0.37267080745341613,1.0057815126050422
driver10,0,0.0,8,385,2100,0.18333333333333332,0.16736689525889073,0.2004562336306607,driver10,385,2100,0.18333333333333332,1.0,0.8817896877415886,1.1428571428571428
driver10,0,0.0,32,221,2100,0.10523809523809524,0.09282650039291337,0.1190913550197755,driver10,221,2100,0.10523809523809524,1.0,0.8333171206225681,1.196358568930341
driver10,0,0.0,128,211,2100,0.10047619047619048,0.08833844254555906,0.11407299375268698,driver10,211,2100,0.10047619047619048,1.0,0.8396491469455145,1.1980400671646112
driver10,0,0.0,256,211,2100,0.10047619047619048,0.08833844254555906,0.11407299375268698,driver10,211,2100,0.10047619047619048,1.0,0.8311658660973729,1.2
driver10,0,0.0,512,211,2100,0.10047619047619048,0.08833844254555906,0.11407299375268698,driver10,211,2100,0.10047619047619048,1.0,0.8305687665679089,1.206722483061928
driver10,0,0.0,2048,211,2100,0.10047619047619048,0.08833844254555906,0.11407299375268698,driver10,211,2100,0.10047619047619048,1.0,0.8354430379746837,1.1937250918183948
driver10,0,0.0,6144,211,2100,0.10047619047619048,0.08833844254555906,0.11407299375268698,driver10,211,2100,0.10047619047619048,1.0,0.8352833243389098,1.2102564102564102
driver10,0,0.4,8,342,2000,0.171,0.15513326229685265,0.1881282010842849,driver10,385,2100,0.18333333333333332,0.9327272727272728,0.8183999794407895,1.0622540697674419
driver10,0,0.4,32,179,2000,0.0895,0.07776320871460618,0.10281074483541494,driver10,221,2100,0.10523809523809524,0.8504524886877828,0.7015689858724552,1.0294167618503713
driver10,0,0.4,128,160,2000,0.08,0.06889938470059176,0.09271099408383912,driver10,211,2100,0.10047619047619048,0.7962085308056872,0.6479704571592869,0.9708781273388218
driver10,0,0.4,256,160,2000,0.08,0.06889938470059176,0.09271099408383912,driver10,211,2100,0.10047619047619048,0.7962085308056872,0.6480832956161903,0.9701154569338554
driver10,0,0.4,512,160,2000,0.08,0.06889938470059176,0.09271099408383912,driver10,211,2100,0.10047619047619048,0.7962085308056872,0.651080436121375,0.971839214102707
driver10,0,0.4,2048,160,2000,0.08,0.06889938470059176,0.09271099408383912,driver10,211,2100,0.10047619047619048,0.7962085308056872,0.6542589124869632,0.9750095177664975
driver10,0,0.4,6144,160,2000,0.08,0.06889938470059176,0.09271099408383912,driver10,211,2100,0.10047619047619048,0.7962085308056872,0.6545995553220632,0.9683951028723778
driver10,0,0.8,8,329,2000,0.1645,0.14889813644807057,0.18138824946187362,driver10,385,2100,0.18333333333333332,0.8972727272727273,0.7874840328467153,1.02186644652808
driver10,0,0.8,32,170,2000,0.085,0.07355890462538317,0.09803230298304258,driver10,221,2100,0.10523809523809524,0.8076923076923077,0.6642793619424054,0.973170731707317
driver10,0,0.8,128,153,2000,0.0765,0.0656457420341257,0.08897805657350875,driver10,211,2100,0.10047619047619048,0.7613744075829383,0.6252164256198347,0.9248938659535352
driver10,0,0.8,256,153,2000,0.0765,0.0656457420341257,0.08897805657350875,driver10,211,2100,0.10047619047619048,0.7613744075829383,0.6212354166666666,0.9218372417244585
